[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:03:25.223Z | filteri: flip_vertical | vreme: 544ms
[INFO] 2026-06-10T14:03:26.024Z | filteri: flip_vertical | vreme: 614ms
[INFO] 2026-06-10T14:03:26.871Z | filteri: flip_vertical | vreme: 485ms
[INFO] 2026-06-10T14:03:27.587Z | filteri: jarvis | vreme: 493ms
[INFO] 2026-06-10T14:03:28.237Z | filteri: jarvis | vreme: 630ms
[INFO] 2026-06-10T14:03:29.035Z | filteri: jarvis | vreme: 617ms
[INFO] 2026-06-10T14:03:29.852Z | filteri: jarvis | vreme: 593ms
[INFO] 2026-06-10T14:03:30.666Z | filteri: jarvis | vreme: 575ms
[INFO] 2026-06-10T14:03:31.440Z | filteri: jarvis | vreme: 701ms
[INFO] 2026-06-10T14:03:32.334Z | filteri: jarvis | vreme: 622ms
[INFO] 2026-06-10T14:03:33.187Z | filteri: jarvis | vreme: 590ms
[INFO] 2026-06-10T14:03:33.982Z | filteri: jarvis | vreme: 594ms
[INFO] 2026-06-10T14:03:34.819Z | filteri: jarvis | vreme: 636ms
[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:04:13.565Z | filteri: grayscale | vreme: 253ms
[INFO] 2026-06-10T14:04:13.989Z | filteri: grayscale | vreme: 269ms
[INFO] 2026-06-10T14:04:14.389Z | filteri: grayscale | vreme: 294ms
[INFO] 2026-06-10T14:04:14.817Z | filteri: grayscale | vreme: 311ms
[INFO] 2026-06-10T14:04:15.278Z | filteri: grayscale | vreme: 275ms
[INFO] 2026-06-10T14:04:15.680Z | filteri: grayscale | vreme: 273ms
[INFO] 2026-06-10T14:04:16.083Z | filteri: grayscale | vreme: 256ms
[INFO] 2026-06-10T14:04:16.462Z | filteri: grayscale | vreme: 262ms
[INFO] 2026-06-10T14:04:16.843Z | filteri: grayscale | vreme: 335ms
[INFO] 2026-06-10T14:04:17.304Z | filteri: grayscale | vreme: 292ms
[INFO] 2026-06-10T14:04:17.724Z | filteri: contrast | vreme: 284ms
[INFO] 2026-06-10T14:04:18.133Z | filteri: contrast | vreme: 294ms
[INFO] 2026-06-10T14:04:18.564Z | filteri: contrast | vreme: 269ms
[INFO] 2026-06-10T14:04:18.966Z | filteri: contrast | vreme: 267ms
[INFO] 2026-06-10T14:04:19.387Z | filteri: contrast | vreme: 306ms
[INFO] 2026-06-10T14:04:19.842Z | filteri: contrast | vreme: 267ms
[INFO] 2026-06-10T14:04:20.235Z | filteri: contrast | vreme: 278ms
[INFO] 2026-06-10T14:04:20.643Z | filteri: contrast | vreme: 282ms
[INFO] 2026-06-10T14:04:21.062Z | filteri: contrast | vreme: 290ms
[INFO] 2026-06-10T14:04:21.480Z | filteri: contrast | vreme: 260ms
[INFO] 2026-06-10T14:04:21.865Z | filteri: flip | vreme: 309ms
[INFO] 2026-06-10T14:04:22.320Z | filteri: flip | vreme: 281ms
[INFO] 2026-06-10T14:04:22.735Z | filteri: flip | vreme: 259ms
[INFO] 2026-06-10T14:04:23.125Z | filteri: flip | vreme: 309ms
[INFO] 2026-06-10T14:04:23.553Z | filteri: flip | vreme: 279ms
[INFO] 2026-06-10T14:04:23.967Z | filteri: flip | vreme: 279ms
[INFO] 2026-06-10T14:04:24.381Z | filteri: flip | vreme: 296ms
[INFO] 2026-06-10T14:04:24.796Z | filteri: flip | vreme: 291ms
[INFO] 2026-06-10T14:04:25.207Z | filteri: flip | vreme: 289ms
[INFO] 2026-06-10T14:04:25.610Z | filteri: flip | vreme: 306ms
[INFO] 2026-06-10T14:04:26.077Z | filteri: laplacian | vreme: 305ms
[INFO] 2026-06-10T14:04:26.521Z | filteri: laplacian | vreme: 300ms
[INFO] 2026-06-10T14:04:26.941Z | filteri: laplacian | vreme: 257ms
[INFO] 2026-06-10T14:04:27.310Z | filteri: laplacian | vreme: 267ms
[INFO] 2026-06-10T14:04:27.711Z | filteri: laplacian | vreme: 266ms
[INFO] 2026-06-10T14:04:28.087Z | filteri: laplacian | vreme: 297ms
[INFO] 2026-06-10T14:04:28.506Z | filteri: laplacian | vreme: 311ms
[INFO] 2026-06-10T14:04:28.922Z | filteri: laplacian | vreme: 255ms
